feature,feature_idx,m_i,s_used,context,prompt,condition,c,sample,baseline_p,a_i_max,active,passed_floor,p_concept,gen_success_frac,gen_success_any,perplexity
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,0,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,7.068752288818359
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,1,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,5.4015793800354
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,2,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,7.769984722137451
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,3,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,5.979455947875977
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,4,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,5.567021369934082
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,5,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,9.876543045043945
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,6,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,6.933550834655762
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,7,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,6.647809982299805
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,8,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,8.38778305053711
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,baseline,,9,0.5280292630195618,70.4028549194336,True,True,0.14673854410648346,0.03125,1,4.912846565246582
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,0,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,13.362034797668457
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,1,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,8.920286178588867
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,2,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,14.56717300415039
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,3,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,9.950691223144531
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,4,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,5.637560844421387
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,5,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,3.589075803756714
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,6,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,7.595338821411133
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,7,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,11.062100410461426
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,8,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,12.811769485473633
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,amplify,,9,0.5280292630195618,70.4028549194336,True,True,0.18620048463344574,1.0,1,12.263607025146484
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,0,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,7.068752288818359
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,1,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,5.4015793800354
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,2,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,7.769984722137451
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,3,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,5.979455947875977
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,4,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,5.567021369934082
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,5,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,9.876543045043945
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,6,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,6.933550834655762
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,7,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,6.362581253051758
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,8,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,9.724088668823242
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,ablate(c=0),0.0,9,0.5280292630195618,70.4028549194336,True,True,0.13377144932746887,0.03125,1,6.156219959259033
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,0,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,7.068752288818359
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,1,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,5.4015793800354
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,2,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,7.769984722137451
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,3,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,5.979455947875977
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,4,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,5.567021369934082
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,5,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,9.876543045043945
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,6,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,6.933550834655762
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,7,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,6.362581253051758
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,8,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,10.987927436828613
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,neg(c=0.25),0.25,9,0.5280292630195618,70.4028549194336,True,True,0.13116705417633057,0.03125,1,6.156219959259033
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.25),0.25,0,0.5280292630195618,70.4028549194336,True,True,0.14168909192085266,0.03125,1,7.068752288818359
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.25),0.25,1,0.5280292630195618,70.4028549194336,True,True,0.14168909192085266,0.03125,1,5.4015793800354
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.25),0.25,2,0.5280292630195618,70.4028549194336,True,True,0.14168909192085266,0.03125,1,7.769984722137451
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.25),0.25,3,0.5280292630195618,70.4028549194336,True,True,0.14168909192085266,0.03125,1,5.979455947875977
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.25),0.25,4,0.5280292630195618,70.4028549194336,True,True,0.14168909192085266,0.03125,1,5.567021369934082
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.25),0.25,5,0.5280292630195618,70.4028549194336,True,True,0.14168909192085266,0.03125,1,9.876543045043945
hair,8827,35.88200378417969,10.0,elicit,She ran her fingers through her,rand(c=0.25),0.25,6,0.5280292630195618,70.4028549194336,True,True,0.14168909192085266,0.03125,1,6.933550834655762
